"AAPL.Close","ABBV.Close","ABT.Close","ACN.Close","ADBE.Close","AGN.Close","AIG.Close","ALL.Close","AMGN.Close","AMZN.Close","AXP.Close","BA.Close","BAC.Close","BIIB.Close","BK.Close","BKNG.Close","BLK.Close","BMY.Close","BRK.B.Close","C.Close","CAT.Close","CELG.Close","CHTR.Close","CL.Close","CMCSA.Close","COF.Close","COP.Close","COST.Close","CSCO.Close","CVS.Close","CVX.Close","DHR.Close","DIS.Close","DUK.Close","DWDP.Close","EMR.Close","EXC.Close","F.Close","FB.Close","FDX.Close","GD.Close","GE.Close","GILD.Close","GM.Close","GOOG.Close","GOOGL.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","KHC.Close","KMI.Close","KO.Close","LLY.Close","LMT.Close","LOW.Close","MA.Close","MCD.Close","MDLZ.Close","MDT.Close","MET.Close","MMM.Close","MO.Close","MRK.Close","MS.Close","MSFT.Close","NEE.Close","NFLX.Close","NKE.Close","NVDA.Close","ORCL.Close","OXY.Close","PEP.Close","PFE.Close","PG.Close","PM.Close","PYPL.Close","QCOM.Close","RTN.Close","SBUX.Close","SLB.Close","SO.Close","SPG.Close","T.Close","TGT.Close","TXN.Close","UNH.Close","UNP.Close","UPS.Close","USB.Close","UTX.Close","V.Close","VZ.Close","WBA.Close","WFC.Close","WMT.Close","XOM.Close"
"2018-01-17",179.100006,104.360001,58.990002,160.210007,196.490005,176.720001,61.419998,103.940002,188.009995,1295,100.760002,351.01001,31.18,344.869995,57.889999,1949.900024,576.51001,61.849998,214.160004,77.470001,168.5,102.019997,357.839996,76.68,41.68,104.389999,59.860001,192.289993,41.200001,79.5,132.360001,99.589996,111.970001,78.410004,50.954945,73.07,39.09,12.18,177.600006,271.48999,208.520004,16.682692,81.739998,44.029999,1131.97998,1139.099976,253.649994,199.820007,151.827957,168.649994,44.389999,146.979996,112.989998,80.07,19.57,46.82,86.209999,334.859985,101.68,164.320007,174.979996,43.860001,86.110001,52.549999,248.110001,70.150002,62.029999,55.349998,90.139999,151.880005,217.5,63.810001,224.720001,50.27,75.860001,119.18,37.18,91.199997,105.790001,82.470001,68.019997,196.990005,60.66,77.209999,45.049999,167.399994,36.849998,76.82,119.160004,238.429993,140.460007,134.009995,56.34,134.419998,121.980003,51.720001,75.779999,63.880001,102.699997,88
"2018-01-18",179.259995,103.809998,59.07,160.940002,196.199997,179.639999,61.529999,104,187.589996,1293.319946,99.860001,340.160004,31.48,344.440002,55.349998,1926.709961,579.219971,61.830002,213.190002,77.389999,168.830002,101.720001,365.25,76.629997,41.849998,103.410004,59.759998,191.509995,41.299999,79.349998,131.589996,99.739998,110.419998,77.339996,51.129791,73.449997,38.59,12.07,179.800003,272.179993,207.800003,16.125,81.169998,43.860001,1129.790039,1135.969971,250.970001,198.330002,151.224136,169.119995,44.48,146.919998,113.260002,79.269997,19.01,46.880001,85.82,333,101.360001,165.479996,174.570007,43.68,87.260002,52.950001,245.910004,70.029999,61.130001,55.84,90.099998,150.779999,220.330002,64.110001,224.440002,50.23,75.389999,119.050003,36.990002,90.18,105.07,82.940002,68.050003,195.710007,61.09,76.370003,44.900002,164.25,37.150002,77.900002,116.410004,243.160004,140.429993,133.589996,56.150002,134.610001,123.110001,51.549999,76,63.950001,104.300003,87.43
"2018-01-19",178.460007,104.639999,59.310001,161.75,195.729996,181.330002,61.549999,103.699997,189.279999,1294.579956,98.029999,337.730011,31.719999,342.410004,56.610001,1910.209961,590.26001,62.279999,213.25,78.300003,170.410004,102.650002,366.049988,77.5,42.5,104.379997,59.75,192.289993,41.290001,79.860001,131.300003,100.559998,110.589996,76.82,51.116341,73.139999,37.970001,12,181.289993,274.320007,209.100006,15.634615,80.980003,43.150002,1137.51001,1143.5,256.119995,201.330002,152.096313,162.369995,44.82,147.360001,113.010002,79.660004,19.01,47.16,85.489998,332,104.949997,166.830002,176.119995,44.139999,86.68,53.400002,248.179993,71.120003,61.279999,57.459999,90,150.160004,220.460007,67.209999,230.110001,50.580002,75.550003,120.169998,36.939999,91.07,108.919998,83.839996,68.040001,196.679993,61.259998,76.419998,44.439999,164.240005,37.209999,78.099998,116.830002,243.350006,141.25,133.080002,56.459999,135.899994,122.699997,51.91,76.470001,64.220001,104.589996,87.150002
"2018-01-22",177,106.489998,59.57,161.429993,197.839996,188.149994,61,104.43,192.330002,1327.310059,98.32,338,31.940001,347.640015,57.720001,1915.77002,593.26001,63.279999,215.970001,78.589996,170.889999,102.910004,370.25,77.379997,42.889999,105.489998,60.669998,194.380005,41.66,80.949997,132.559998,99.970001,111.099998,76.949997,51.230667,73.260002,38.049999,12.02,185.369995,273.890015,208.199997,15.548077,81.410004,43.290001,1155.810059,1164.160034,261.519989,204.460007,151.95256,162.600006,45.75,148.139999,114.330002,80.169998,19.629999,47.380001,85.440002,329,107.110001,168.279999,176.210007,44.279999,86.050003,53.849998,247.300003,71.279999,61.25,57.360001,91.610001,150.020004,227.580002,66.389999,233.690002,50.709999,77.629997,121.510002,36.93,91.889999,108.809998,83.980003,68.669998,196.369995,61.41,79.790001,44.040001,166.100006,37.869999,78.580002,119.440002,243.559998,141.970001,132.860001,57.259998,135.210007,124.330002,53.459999,77.400002,64.730003,105.449997,88.25
"2018-01-23",177.039993,105.379997,59.23,160.880005,200.089996,188.059998,62.34,101.25,191.990005,1362.540039,97.980003,335.589996,31.92,346.75,57.720001,1962.939941,589.679993,63.43,215.559998,78.550003,169.429993,104.550003,369.25,76.900002,42.439999,105.709999,60.470001,193.419998,42.099998,80.440002,131.020004,99.949997,110.410004,77.709999,51.203766,73.120003,38.529999,11.96,189.350006,272.019989,207.479996,16.240385,80.949997,43.380001,1169.969971,1176.170044,260.089996,204.899994,152.958923,166.25,46.060001,141.830002,114.209999,80.269997,19.450001,47.450001,84.419998,328.700012,107.110001,167.190002,176.809998,44.5,85.230003,53.610001,246.309998,71.449997,61.700001,56.91,91.900002,152.720001,250.289993,67.139999,238.910004,51.119999,77.419998,121.300003,36.82,89.050003,109.529999,84.209999,68.339996,196.229996,61.689999,79.209999,44.470001,166.330002,37.189999,78.120003,119.889999,245.210007,141.360001,132.070007,57.18,136.029999,124.650002,53.23,77.019997,64.489998,105.900002,88.300003
"2018-01-24",174.220001,105.510002,61.720001,160.600006,197.779999,186.720001,64.32,99.870003,190.630005,1357.51001,99.300003,334.690002,32.09,346.5,57.77,1955.23999,587.669983,63.759998,215.610001,79.449997,168.339996,103.110001,376.179993,76.800003,42.990002,105.260002,60.490002,194.240005,42.169998,80.919998,131.389999,101.379997,110.5,77.239998,51.116341,72.629997,38.209999,12.05,186.550003,270.410004,219.270004,15.807693,81.300003,44.16,1164.23999,1171.290039,265.679993,206.220001,153.323135,165.369995,45.509998,142.070007,115.669998,79.860001,19.139999,47.830002,84.300003,330.48999,106.720001,167.009995,176.119995,44.59,85.760002,54.099998,247.690002,71.559998,61.18,57.240002,91.82,150.850006,261.299988,68,235.800003,51.450001,77.559998,121.139999,36.93,88.309998,110.599998,83.709999,67.980003,198.089996,60.830002,78.18,44.080002,166.100006,37.02,76.889999,109.699997,244.850006,141.190002,131.690002,57.75,135.679993,124.550003,54.220001,77.330002,65.480003,105.790001,88.529999
"2018-01-25",171.110001,108.300003,63.220001,160.789993,197.509995,187.119995,64.800003,100.730003,190.080002,1377.949951,99.690002,343.109985,32.09,353.73999,56.849998,1949.670044,575.5,63.52,215.100006,79.440002,169.369995,104.389999,375.140015,77.309998,42.139999,104.260002,59.48,197.949997,41.900002,81.580002,130.649994,102.699997,110.550003,78.900002,51.546738,72.68,38.68,11.57,187.479996,268.040009,226.529999,15.557693,81.190002,43.16,1170.369995,1182.140015,269.029999,205.369995,155.115433,165.470001,45.299999,144.399994,115.699997,79.669998,18.82,47.84,85.010002,334.720001,106.379997,168.589996,175.660004,44.470001,86.82,54,252.360001,69.910004,61.299999,56.810001,92.330002,153.089996,269.700012,67.709999,236.350006,51.599998,76.739998,120.900002,37.23,88.339996,107.489998,84.339996,67.419998,202.839996,60.549999,77.330002,44.619999,164.199997,37.450001,76.300003,110.150002,245.179993,133.600006,131.289993,57.98,137.75,125.220001,54.290001,78.269997,65.650002,106.599998,88.370003
"2018-01-26",171.509995,123.209999,63.419998,162.550003,201.300003,186.929993,64.68,100.529999,196.009995,1402.050049,99.629997,343.220001,32.200001,367.910004,57.779999,1950.47998,586.799988,64.25,217.190002,80.080002,167.059998,105.169998,377,73.559998,42.799999,104.900002,60.389999,198.910004,42.560001,82.010002,131.190002,103.800003,112.190002,78.830002,51.795563,74.050003,38.860001,11.65,190,268.850006,226.240005,15.509615,85.459999,43.490002,1175.839966,1187.560059,268.140015,207.229996,158.134552,167.339996,50.080002,145.330002,116.32,79.389999,18.77,48.529999,87.080002,344.899994,107.400002,170.339996,178.360001,44.419998,87.120003,54.77,258.630005,71.019997,62.040001,57.599998,94.059998,157.690002,274.600006,68.040001,243.330002,52.75,77.18,121.760002,39.009998,87.730003,110.190002,85.449997,68.529999,208.910004,57.990002,77.610001,44.310001,163.710007,37.82,76.949997,113.690002,248.470001,134.229996,132.720001,58.110001,137.979996,126.32,54.720001,79.150002,65.93,108.389999,89
"2018-01-29",167.960007,122.309998,63.310001,161.190002,198.229996,187.300003,64.260002,98.040001,198,1417.680054,99.410004,340.820007,32.279999,358.480011,57.52,1929.22998,574.419983,64.43,215.460007,79.959999,162.580002,103.260002,374.5,73.790001,41.98,104.599998,59.66,198.320007,42.849998,83.629997,128.479996,103.690002,111.540001,77.290001,51.022194,72.989998,38.330002,11.12,185.979996,267.690002,225.5,15.653846,88.800003,43.02,1175.579956,1186.47998,272.480011,204.919998,154.760803,166.800003,49.98,143.679993,116.199997,78.419998,18.709999,47.700001,87.599998,351.420013,106.839996,168.550003,177.770004,44.540001,86.720001,54.400002,256.01001,69.830002,61.630001,57.450001,93.919998,155.679993,284.589996,67.580002,246.850006,51.939999,76.239998,119.669998,39.02,86.860001,108.610001,84.309998,67.32,211.220001,57.02,76.379997,43.990002,162.919998,37.259998,76.800003,112.650002,247.410004,136.050003,130.639999,57.990002,136.669998,124.839996,54.130001,80.269997,65.82,109.550003,88.010002
"2018-01-30",166.970001,115.879997,62.439999,159.699997,196.899994,184.380005,63.349998,98.449997,191.270004,1437.819946,98.709999,337.709991,31.879999,352.589996,56.700001,1921.530029,562.289978,63.959999,214.410004,78.620003,163.759995,101.580002,376.570007,74.669998,42.34,103.470001,58.459999,197.910004,42.25,80.190002,125.230003,101.599998,110.110001,77.660004,50.524548,72.470001,38.290001,11.06,187.119995,261.459991,224.279999,15.336538,87.290001,42.700001,1163.689941,1177.369995,268.940002,201.809998,152.364685,163.619995,48.790001,142.429993,115.110001,78.5,18.23,47.41,86.089996,350.390015,105.18,167.190002,172.479996,44.34,85.959999,49.73,251.539993,69.82,60.650002,56.599998,92.739998,155.100006,278.799988,67.330002,242.720001,50.959999,74.760002,119.889999,37.799999,86.949997,107.940002,83.779999,66.989998,209.179993,57.189999,74.540001,44.799999,162.610001,37.439999,75.099998,109.889999,236.649994,135.360001,128.110001,57.400002,136.5,123.550003,53.900002,76.129997,65.279999,107.730003,86.779999
"2018-01-31",167.429993,112.220001,62.16,160.699997,199.759995,180.259995,63.919998,98.769997,186.050003,1450.890015,99.400002,354.369995,32,347.809998,56.700001,1912.050049,561.799988,62.599998,214.380005,78.480003,162.779999,101.160004,377.25,74.239998,42.529999,103.959999,58.810001,194.869995,41.540001,78.690002,125.349998,101.279999,108.669998,78.5,50.827168,72.230003,38.509998,10.97,186.889999,262.480011,222.479996,15.548077,83.800003,42.41,1169.939941,1182.219971,267.890015,200.899994,153.035599,163.699997,48.139999,138.190002,115.669998,78.389999,17.98,47.59,81.449997,354.850006,104.730003,169,171.139999,44.400002,85.889999,48.07,250.5,70.339996,59.25,56.549999,95.010002,158.419998,270.299988,68.220001,245.800003,51.59,74.970001,120.300003,37.040001,86.339996,107.230003,85.32,68.25,208.940002,56.810001,73.580002,45.110001,163.369995,37.450001,75.220001,109.669998,236.779999,133.5,127.32,57.139999,138.009995,124.230003,54.07,75.260002,65.779999,106.599998,87.300003
"2018-02-01",167.779999,116.339996,62.18,160.460007,199.380005,178.539993,64.169998,98.720001,185.559998,1390,100,356.940002,32.5,346,57.5,1903.689941,565.190002,62.799999,217.25,79.199997,162.240005,100.339996,371.179993,73.330002,41.889999,104.720001,59.349998,193.470001,41.700001,78.790001,125.57,101.860001,110.489998,76.839996,49.428379,72.580002,37.84,10.92,193.089996,261.829987,225.210007,15.403846,83.489998,42.43,1167.699951,1181.589966,272.230011,199.899994,153.016434,162.399994,47.650002,140.020004,116.870003,78.57,18.059999,47.450001,82.410004,357.380005,103.860001,172.929993,171.899994,45.869999,84.980003,48.389999,247.940002,69.93,59.860001,57.450001,94.260002,156.339996,265.070007,67.650002,240.5,51.630001,76.099998,120.300003,36.830002,85.849998,105.169998,78.400002,66.800003,210.850006,56,75.510002,44.380001,159.649994,39.16,74.970001,110.080002,235.220001,132.380005,119.510002,57.459999,138.320007,125.720001,54.299999,76.059998,65.510002,105.519997,89.07
"2018-02-02",160.5,115.169998,61.689999,156.899994,195.639999,172.509995,63.040001,97.940002,187.009995,1429.949951,96.68,348.910004,31.950001,343.829987,56.330002,1859.099976,548.320007,63.48,209.119995,77.019997,157.490005,99.800003,387.5,72.43,41.110001,101.57,57.720001,190.990005,40.93,76.449997,118.580002,102.18,108.699997,76.529999,47.673168,70.57,37.720001,10.71,190.279999,255.869995,221.720001,15.038462,81.730003,41,1111.900024,1119.199951,260.040009,193.970001,150.141083,159.029999,46.150002,137.679993,114.279999,77.190002,17.5,46.73,81.18,352.660004,101.5,170.550003,169.380005,45.5,84.449997,47.560001,245.169998,69.400002,58.560001,55.48,91.779999,155.919998,267.429993,67.220001,233.520004,50.130001,73.580002,118.669998,36.610001,84.25,103.440002,76.57,66.07,206.800003,55.77,73.690002,44.169998,156.520004,38.07,72.949997,107.660004,231.880005,129.360001,116.470001,56.900002,134.610001,120.910004,52.98,73.559998,64.07,104.480003,84.529999
"2018-02-05",156.490005,109.510002,58.73,151.830002,190.270004,165,60.630001,95.019997,174.75,1390,92.010002,328.880005,30.26,328.309998,54.380001,1825.930054,524.969971,60.959999,196.800003,73.269997,151.080002,93.739998,372.570007,69.809998,39.200001,97,55.939999,182.770004,38.779999,73.32,112.620003,96.699997,104.699997,75.809998,45.622059,68.440002,36.919998,10.24,181.259995,248.5,211.220001,14.336538,78.370003,39.540001,1055.800049,1062.390015,249.110001,183.110001,143.930328,152.529999,44.52,130.389999,108.800003,74.260002,16.809999,44.889999,77.489998,336.459991,97.580002,164.589996,163.850006,43.939999,81.419998,45.889999,231.440002,66.040001,56.400002,52.549999,88,154.289993,254.259995,64.389999,213.699997,48.09,70.910004,114.459999,34.669998,81.059998,98.690002,74.705002,61.73,198.360001,54.689999,71.349998,43.720001,155.119995,36.630001,70.769997,104.209999,220.020004,124.139999,113.300003,54.619999,127.239998,116.269997,50.5,70.43,58.16,100.089996,79.720001
"2018-02-06",163.029999,111.199997,58.860001,154.690002,194.470001,168.330002,60.259998,96.599998,176.649994,1442.839966,94.18,340.910004,31.200001,332.859985,55.490002,1858.660034,535.219971,60.900002,201.240005,74.82,156.410004,96.25,369.75,70.410004,39.669998,98.440002,55.939999,185.009995,40.169998,74.019997,117.18,97.050003,106.169998,74.489998,48.345661,69.25,36.470001,10.76,185.309998,250.179993,212.460007,14.682693,80.379997,41.860001,1080.599976,1084.430054,258.700012,191.039993,145.109222,155.339996,44.91,131.830002,112.110001,74.309998,17.33,44.669998,77.989998,337.589996,100.220001,169.279999,165.179993,44.549999,81.669998,46.200001,233.630005,66.529999,55.459999,54.330002,91.330002,149.559998,265.720001,65.220001,225.580002,49.400002,71.220001,113.559998,35.279999,82.379997,100.330002,75.68,64.400002,201.130005,55.610001,71.040001,43.490002,155.979996,36.830002,72.709999,105.870003,225.179993,131.149994,112.709999,54.619999,129.809998,119.970001,50.830002,71.790001,57.279999,100.900002,78.349998
